|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   0   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   0   |    0|    0|
|1+  |     0|1110110000010000|  0  |      0|   0   |    0|    0|
|2   |     0|1110110000010000|  0  |  -5104|   0   |30216|    1|
|2+  |     0|0101101110100000|  0  |     -1|   0   |30216|    1|
|3   |     0|0101101110100000|  0  |     -1|   0   |32767|    1|
|3+  |     0|1110000111010000|  0  |     -1|   0   |32767|    1|
|4   |     0|1110000111010000|  0  |  -7727|   0   |28904|32767|
|4+  |     0|0000001111101000|  0  |      1|   0   |28904|32767|
|5   |     0|0000001111101000|  0  |      1|   0   |    0|    0|
|5+  |     0|1110001100001000|  0  |     -1|   1   |    0|    0|
|6   |     0|1110001100001000|  0  |     -1|   1   |29060|    0|
